date,time,temperature_2m,temp_f
2026-06-27,2026-06-26T20:00,25.8,78.4
2026-06-27,2026-06-27T05:15,21.5,70.7
2026-06-27,2026-06-27T09:15,24.1,75.4
2026-06-27,2026-06-27T13:45,28.2,82.8
2026-06-27,2026-06-27T18:45,21.8,71.2
2026-06-28,2026-06-28T05:45,20.3,68.5
2026-06-28,2026-06-28T09:15,22.8,73.0
2026-06-28,2026-06-28T14:00,26.8,80.2
2026-06-28,2026-06-28T18:45,26.1,79.0
2026-06-29,2026-06-29T07:45,21.7,71.1
2026-06-29,2026-06-29T11:30,29.7,85.5
2026-06-29,2026-06-29T15:00,30.9,87.6
2026-06-29,2026-06-29T18:45,29.1,84.4
2026-06-30,2026-06-30T06:15,21.3,70.3
2026-06-30,2026-06-30T10:00,28.3,82.9
2026-06-30,2026-06-30T14:45,32.3,90.1
2026-06-30,2026-06-30T19:00,31.1,88.0
2026-07-01,2026-07-01T06:30,24.3,75.7
2026-07-01,2026-07-01T10:15,29.6,85.3
2026-07-01,2026-07-01T14:45,36.1,97.0
2026-07-01,2026-07-01T19:00,33.1,91.6
